Date,Id,Text,Likes,Re-Tweets,Location
2020-05-11 10:06:43,1259787008521703425,RT : I invite you to join the call to GET INVOLVED . Locate a branch of the NDC near you and let's work together for Victory 2020 . …,0,371,Yeji
2020-05-11 10:06:27,1259786944537661440,Ptdrrr 😭 😭,0,0,09.05.20 🥺
2020-05-11 10:06:11,1259786875998310401,RT : 💊 大人のナース服 💉 Instinctive Switch ナースワンピース 【 NDC 】 ✨ 控えめなラインとふんわりとした膝丈スカートが特長 ✨ お揃いのナースハット ・ リボンもございます 💕 お色 ： ホワイト ・ グレー ・ ブラック 予約締切 ： ~ 5/19 …,0,1,名古屋
2020-05-11 10:06:07,1259786859993092096,Ptdr,0,0,Dehors ✌️ 
2020-05-11 10:05:54,1259786804129079296,"#Affinitweet Emoji Mood 😭 , 🥺 , 👀 , 🤝 , 😎 , 🤧 , 😔 , ♥ ️ , 🥰 , ❤ ️ ... via https://t.co/cAESEKQ5dK https://t.co/SmtAw0Cc59",0,0,09.05.20 🥺
2020-05-11 10:05:31,1259786708914188288,"#Affinitweet Halloween Duo Même pas besoin de me déguiser cette année pour faire peur , je suis avec akabxne _ ! 🎃 👻 Et toi , avec qui seras-tu ? via https://t.co/iWzFXXcojv https://t.co/92zSRjSBpc",0,0,09.05.20 🥺
2020-05-11 10:05:06,1259786602261381120,"#Affinitweet May Day NoPovp 0int , je t'offre mon plus beau bouquet de muguet cette année ! 💐 À qui offriras-tu le tien ? via https://t.co/8tfNE2Cg64 https://t.co/jSkh7c06Py",0,0,09.05.20 🥺
2020-05-11 10:04:45,1259786513266720768,#Affinitweet Tweet Rate https://t.co/leltaKxbm8 https://t.co/dUnzHFjOIV,0,0,09.05.20 🥺
2020-05-11 10:03:58,1259786315958308865,#Affinitweet First To Follow akabxne _ t'a suivi à 22:25 : 00 le 03/04 / 2020 . Tu as suivi akabxne _ à 23:03 : 00 le 03/04 / 2020 . via https://t.co/4SOiD7ayva https://t.co/p6Wl0yI0Uv,0,0,09.05.20 🥺
2020-05-11 10:03:26,1259786182705188865,"#Affinitweet Stolen Kiss MinatoN 4mik4ze t'embrasserait bien au coin d'une rue ... 😏 Et toi , qui t'embrasserait ? via https://t.co/dBaux5L0ew https://t.co/MSJWd8NWT3",0,0,09.05.20 🥺
2020-05-11 10:00:56,1259785552410193922,NDCさんとの勉強会はじまるよー ！ #ndcpatch,0,0,Sapporo
2020-05-11 10:00:50,1259785530939711488,RT : i forgive all those who post fake stories about Koku Anyidoho . i am still a loyal member of the NDC and i choose to ignor …,0,7,Yeji
2020-05-11 10:00:37,1259785473272295425,"OK universe , I did my hair properly today for this NDC warmup . I hope you all appreciate it ;)",2,0,"London, UK"
2020-05-11 10:00:29,1259785441747832832,💊 大人のナース服 💉 Instinctive Switch ナースワンピース 【 NDC 】 ✨ 控えめなラインとふんわりとした膝丈スカートが特長 ✨ お揃いのナースハット ・ リボンもございます 💕 お色 ： ホワイト ・ グレー ・ ブラック 予約締切 ： ~ 5/19 まで お届け予定 ： 8 ~ 9月頃 https://t.co/GhyuGfoqcW #epetice #エペティス https://t.co/D975wYR08F,2,1,
2020-05-11 10:00:24,1259785418498867202,RT : Nbs jabs Addo D dey jab the NDC ooo 😂 😂 😂 👌,0,23,Ghana
2020-05-11 09:57:18,1259784638182182912,I won ’ t buy you roses but I smile expensive flowers 😂 😂,0,0,SJP BR
